listing_id,availability_30,availability_90
12051674,13,70
14885917,12,56
57800,22,78
8970779,0,0
8118718,2,15
14918032,29,89
13393418,2,43
1042420,9,53
6314998,26,86
14072546,19,45
14344516,8,17
7035556,8,52
8757949,29,89
10411383,9,21
13613562,23,83
13394184,0,0
1497879,0,0
11333422,11,66
8624898,7,57
8166076,19,59
14178758,18,77
14072256,20,46
10132073,12,62
14522917,2,34
8231382,0,16
10524612,5,44
12604733,15,75
5364137,0,4
4315439,29,89
13046976,2,17
7033732,0,7
611081,19,70
13816458,3,49
7984949,0,1
4314054,0,2
12308927,5,42
118905,15,75
20000,13,66
14532696,0,34
8065282,11,51
4820071,0,43
9751520,0,0
9145242,27,86
13421289,25,85
7178893,0,6
11618815,2,44
14141920,3,6
5478135,21,73
10356880,4,40
3615760,1,8
9390951,0,0
1051482,0,0
4475740,1,1
14262627,0,6
12699603,0,0
7489883,29,89
3802530,0,0
14075290,20,46
1066767,23,83
4638356,20,77
12436115,28,88
8716849,28,88
3917027,30,90
10945407,19,19
8340599,0,34
14255219,11,55
14533011,0,34
4080000,30,90
14844149,28,88
7880828,26,84
13064781,3,19
1541166,3,3
8454985,10,70
14769652,27,83
77681,30,88
4112178,0,0
5684598,0,0
7109689,4,64
14924831,6,66
29765,2,36
14660635,11,59
5813992,0,0
3749523,10,45
1587540,0,8
10253899,0,0
45987,30,90
7009774,0,0
14136509,27,87
5174821,0,0
12432535,16,73
8613870,0,0
13414159,11,38
2798599,0,0
12825412,0,0
14594810,28,88
1421610,0,0
619142,3,9
93505,11,23
3721095,9,47
44205,6,37
4402259,2,42
1223050,3,25
189965,15,75
6268805,2,5
14834305,5,65
14296152,6,66
13951579,0,0
13163259,0,0
11837857,3,14
9822600,0,0
11395461,0,0
14013663,7,57
5726250,0,21
5628808,0,0
5481243,0,27
13083342,0,14
13655073,4,4
2810123,0,0
14858782,5,65
13032590,6,47
2660908,1,1
9132081,0,0
14292385,15,75
2167993,11,54
14013583,7,57
13063952,0,0
6886946,4,11
6378076,0,0
14537320,0,34
6690605,0,43
5592866,0,0
8442940,1,7
708802,5,32
1658983,0,18
6000531,8,8
