id,name,property_id,host_id,neighborhood_id,zipcode,accommodates,bedrooms,minimum_nights,price,availability_30,availability_90
9676551,"Urban oasis, wonderful location!",2,22249835,2,02130,2,1.0,2,$76.00,3,39
12789527,"Private room, Boston with breakfast",2,5965548,2,Unknown,2,1.0,1,$100.00,10,70
12855005,Lg rm in beautiful Victorian,1,12164071,2,02130,2,1.0,2,$70.00,0,0
1631942,Sweet penthouse in historic Boston,3,4147257,2,02130,2,1.0,2,$125.00,0,6
2884903,"Private Room, near JP Center & MBTA",2,14743729,2,02130,2,1.0,1,$70.00,0,0
14868157,"Charming room, in hip JP near The T",5,30490577,2,02119,1,1.0,1,$75.00,23,83
13344433,Sun filled modern master suite and separate den,1,13897255,2,02130,3,2.0,2,$170.00,14,39
40601,Private room & bath - Jamaica Plain,1,174986,2,02130,2,1.0,4,$95.00,0,0
12033661,A quiet and sunny room,5,4852286,2,02130,2,1.0,4,$70.00,0,0
6298216,"Fun Location, Beautiful & Spacious!",2,32750893,2,02130,6,3.0,1,$299.00,0,0
12868343,Charming & Quiet in Jamaica Plain,1,2753598,2,02130,1,1.0,3,$70.00,0,0
14474750,Entire Third Floor with private bath.,7,79575198,2,02130,6,2.0,1,$155.00,0,42
6921672,French Country 2bd/2bth Heart of JP,2,36278389,2,02130,4,2.0,1,$250.00,0,0
2219399,Sunny Private Room and Bath in JP,2,1624549,2,02130,2,1.0,2,$115.00,22,73
336960,JP Green House: Simple and Private,1,1713739,2,02131,3,1.0,2,$70.00,14,65
336946,JP Green House: Garden Apartment,1,1713739,2,02131,3,1.0,2,$135.00,11,44
6644330,Qn BR/deck/Jacuzzi/Superhost/JP Ctr,3,5028116,2,02130,2,1.0,1,$120.00,5,63
6939162,Unique Loft in Central JP Location,8,16379445,2,02130,4,1.0,1,$130.00,0,0
13640138,336 Centre St Boston!,2,55958506,2,02130,3,1.0,2,$29.00,0,0
